	English	Russian	German	Frenсh	Spanish	Polish	Turkish	BrazilianPortugal	Korean	Japanese	ChineseSimp						
alliance.Corporation.name	Minor Corporation	Минорная корпорация	Minor Corporation	Corporation mineure	Corporación menor	Mniejsza korporacja	Küçük şirket	Corporação menor	소규모 기업	マイナー企業	小型公司						
alliance.Corporation.proxyname	Proxy Corp	Прокси-компания	Proxy Corp	Proxy Corp	Corporación proxy	Proxy Corp	Proxy Corp	Proxy Corp	프록시 기업	プロキシ企業	代理公司						
alliance.Corporation.subName	Market Participant	Участник рынка	Marktteilnehmer	Participant au marché	Participante del mercado	Uczestnik rynku	Piyasa katılımcısı	Participante do mercado	시장 참여자	市場参加者	市场成员						
alliance.Empire.name	Quasimorphic Legion	Квазиморфный легион	Quasimorphe Legion	Légion Quasimorphique	Legión cuasimórfica	Legion Kwazimorficzny	Kuazimorfik Lejyon	Legião Quasimórfica	준형성 군단	クアズモーフィック・レギオン	异变体军团						
alliance.Empire.proxyname	Emerald Cult	Изумрудный культ	Smaragdkult	Culte d'Émeraude	Culto Esmeralda	Kult Szmaragdu	Zümrüt Tarikatı	Culto Esmeralda	에메랄드 교단	翡翠の教団	翡翠教团						
alliance.Empire.subName	Quasimorph	Квазиморф	Quasimorph	Quasimorphe	Cuasimorfo	Quasimorf	Kısmimorfozlu	Quasimorpho	준형성	クアージモーフ	异变体						
alliance.Hexarchy.name	Hexarch	Гексарх	Hexarch	Hexarche	Hexarca	Heksarcha	Heksarşi	Hexarca	헥사르크	ヘクサーク	六方盟						
alliance.Hexarchy.subName	Councillor	Член совета	Ratsmitglied	Conseiller	Concejal	Radny	Meclis üyesi	Conselheiro	평의원	評議員	议员						
alliance.Legion.name	Quasimorphic Legion	Квазиморфный легион	Quasimorphe Legion	Légion quasimorphique	Legión cuasimórfica	Legion Kwasimorficzny	Kuasimorfik Lejyon	Legião Quasimórfica	준형성 군단	クアズモーフィック・レギオン	异变体军团						
alliance.Legion.proxyname	Sanguinary Cult	Кровавый культ	Blutiger Kult	Culte Sanguinaire	Culto sanguinario	Krwawy Kult	Kanlı Tarikat	Culto Sanguinário	피의 교단	血の礼拝	血腥邪教						
alliance.Legion.subName	Quasimorph	Квазиморф	Quasimorph	Quasimorphe	Cuasimorfo	Quasimorf	Kısmimorfozlu	Quasimorpho	준형성	クアージモーフ	异变体						
alliance.Pirates.name	Criminal Element	Преступный элемент	Kriminelles Element	Élément criminel	Elemento criminal	Element przestępczy	Suç unsuru	Elemento criminoso	범죄 세력	犯罪要素	犯罪集团						
alliance.Pirates.proxyname	Proxy Syndicate	Прокси-синдикат	Proxy-Syndikat	Syndicat de Proxys	Sindicato de proxy	Syndykat Proxy	Vekil Sendikası	Sindicato de Proxys	프록시 신디케이트	プロキシシンジケート	代理集团						
alliance.Pirates.subName	Enemies of Anarchy	Враги Анархии	Feinde der Anarchie	Ennemis de l'Anarchie	Enemigos de la Anarquía	Wrogowie Anarchii	Anarşinin Düşmanları	Inimigos da Anarquia	무정부의 적	アナーキーの敵	无政府之敌						
alliance.Rebels.name	Quasimorphic Legion	Квазиморфный легион	Quasimorphe Legion	Légion Quasimorphique	Legión cuasimórfica	Legion Kwazimorficzny	Kuazimorfik Lejyon	Legião Quasimórfica	준형성 군단	クアズモーフィック・レギオン	异变体军团						
alliance.Rebels.proxyname	Feathered Cult	Пернатый культ	Gefiederter Kult	Culte Plumeux	Culto emplumado	Kult Piór	Tüylü Tarikat	Culto de Penas	깃털 교단	羽の教団	羽毛教派						
alliance.Rebels.subName	Quasimorph	Квазиморф	Quasimorph	Quasimorphe	Cuasimorfo	Quasimorf	Kısmimorfozlu	Quasimorpho	준형성	クアージモーフ	异变体						
alliance.Resistance.name	Terrorist Organization	Террористическая организация	Terroristische Organisation	Organisation terroriste	Organiz. terrorista	Organizacja terrorystyczna	Terörist organizasyon	Organização terrorista	테러 조직	テロ組織	恐怖组织						
alliance.Resistance.proxyname	Proxy Cell	Прокси-ячейка	Proxy-Zelle	Cellule Proxy	Célula proxy	Komórka Proxy	Vekil Hücre	Célula Proxy	프록시 조직	プロキシセル	代理小组						
alliance.Resistance.subName	Enemies of Anarchy	Враги Анархии	Feinde der Anarchie	Ennemis de l'Anarchie	Enemigos de la Anarquía	Wrogowie Anarchii	Anarşinin Düşmanları	Inimigos da Anarquia	무정부의 적	アナーキーの敵	无政府之敌						
armor.class.Cloth	Cloth	Тканевая броня	Stoff	Tissu	Tela	Tkanina	Kumaş	Pano	천	布	布甲						
armor.class.HardCloth	Padded Cloth	Стеганка	Gesteppter Stoff	Tissu matelassé	Tela acolchada	Tkanina pikowana	Yorgan Kumaşı	Pano Acolchoado	누비 천	キルティング	强化布甲						
armor.class.HeavyArmor	Heavy Armor	Тяжелая броня	Schwere Rüstung	Armure Lourde	Armadura pesada	Ciężka Zbroja	Ağır Zırh	Armadura Pesada	중갑	重アーマー	重甲						
armor.class.LightArmor	Light Armor	Легкая броня	Leichte Rüstung	Armure légère	Armadura ligera	Lekka zbroja	Hafif Zırh	Armadura Leve	경갑	軽アーマー	轻甲						
armor.class.MediumArmor	Medium Armor	Средняя броня	Mittlere Rüstung	Armure Moyenne	Armadura media	Średnia Zbroja	Orta Zırh	Armadura Média	중형 갑옷	中アーマー	中甲						
